Month,LocationName,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-01-01,Spain,OffPeak,509489.72000000003,-19255979.89,114190555.92119999,-133446535.8112
2025-01-01,Spain,Peak,471653.47,-17299180.0244,208554616.1403,-225853796.1647
2025-02-01,Spain,OffPeak,472181.99,-18325234.579600003,130278566.0862,-148603800.6658
2025-02-01,Spain,Peak,460159.41,-17741378.7314,190728120.4839,-208469499.21530002
2025-03-01,Spain,OffPeak,8821.89,4758760.885299999,161604669.2286,-156845908.34329998
2025-03-01,Spain,Peak,7700.429999999999,5122777.1225,196273102.3725,-191150325.25
2025-04-01,Spain,OffPeak,612082.86,-27765470.5209,156184702.7972,-183950173.3181
2025-04-01,Spain,Peak,588674.08,-26474626.5341,211027357.1504,-237501983.6845
2025-05-01,Spain,OffPeak,349930.9,-14966785.5654,162463960.3664,-177430745.9318
2025-05-01,Spain,Peak,332290.25,-13998394.3308,188736907.0204,-202735301.35119998
2025-06-01,Spain,OffPeak,505811.5,-20666459.083300002,127793356.862,-148459815.9453
2025-06-01,Spain,Peak,510152.93,-21345043.553600002,185162701.5981,-206507745.15170002
2025-07-01,Spain,OffPeak,169284.62,-8537347.2214,178765255.9776,-187302603.199
2025-07-01,Spain,Peak,148575.46,-8029766.2107,306134700.76299995,-314164466.9736999
2025-08-01,Spain,OffPeak,228443.33000000002,-11031269.244900001,226862064.4069,-237893333.65179998
2025-08-01,Spain,Peak,265691.65,-13041733.7355,277731932.233,-290773665.96849996
2025-09-01,Spain,OffPeak,565251.02,-27258546.6264,211063607.9496,-238322154.576
2025-09-01,Spain,Peak,526919.9,-25197021.908600003,263095674.7338,-288292696.6424
2025-10-01,Spain,OffPeak,-219215.0,12316978.621199997,165545131.71780002,-153228153.09660003
2025-10-01,Spain,Peak,-258628.04,14201389.174799997,225291526.68440002,-211090137.5096
2025-11-01,Spain,OffPeak,-201516.05,14179317.362899996,176382988.0011,-162203670.6382
2025-11-01,Spain,Peak,-131773.74,10283086.537199998,222397200.02380002,-212114113.4866
2025-12-01,Spain,OffPeak,-192114.6,11402696.480899997,153053247.15240002,-141650550.67150003
2025-12-01,Spain,Peak,-221036.98,12791789.125399997,220262787.3348,-207470998.2094
2025-09-01,Switzerland,OffPeak,-717414.2,40273572.5736,156731258.93400002,-116457686.36040002
2025-09-01,Switzerland,Peak,-736034.41,41333539.093600005,198760691.8489,-157427152.7553
2025-07-01,United Kingdom,OffPeak,1259090.07,-67176853.0005,162044640.68580002,-229221493.6863
2025-07-01,United Kingdom,Peak,1218489.59,-64831859.367699996,280935426.4295,-345767285.79719996
2025-08-01,United Kingdom,OffPeak,1497883.3,-79699331.6577,212647793.1336,-292347124.7913
2025-08-01,United Kingdom,Peak,1496577.11,-79448312.4279,262367506.7622,-341815819.1901
2025-09-01,United Kingdom,OffPeak,1027928.42,-53672854.367699996,202505139.1188,-256177993.48650002
2025-09-01,United Kingdom,Peak,1008096.34,-52448692.2165,256074975.08519998,-308523667.3017
2025-10-01,United Kingdom,OffPeak,728896.96,-38892745.921399996,140827655.3112,-179720401.23259997
2025-02-01,Germany,OffPeak,1487678.92,-77178239.8571,119223432.6984,-196401672.5555
2025-02-01,Germany,Peak,1413262.17,-73327277.2973,166099058.0943,-239426335.3916
2025-04-01,Germany,OffPeak,806650.68,-44394028.8606,126165900.5376,-170559929.3982
2025-04-01,Germany,Peak,754173.93,-41987316.548,168197543.0338,-210184859.5818
2025-12-01,France,OffPeak,-577885.48,30529565.0703,95467332.3786,-64937767.3083
2025-12-01,France,Peak,-576568.4,30416010.019,138816509.1678,-108400499.14880002
2025-11-01,United Kingdom,OffPeak,569867.04,-31784763.428099997,148143001.0266,-179927764.4547
2025-11-01,United Kingdom,Peak,589364.55,-32890967.166199997,185745131.33290002,-218636098.49910003
2025-12-01,United Kingdom,OffPeak,737533.89,-39273529.6338,130445007.5537,-169718537.1875
2025-10-01,United Kingdom,Peak,718313.14,-38313922.6195,191185608.6778,-229499531.29729998
2025-12-01,United Kingdom,Peak,687461.57,-36574257.5932,187257625.7805,-223831883.3737
2025-06-01,France,OffPeak,-58287.520000000004,3971483.737900001,106737931.3276,-102766447.5897
2025-06-01,France,Peak,-62744.99,4204260.937600001,158968144.0581,-154763883.1205
2025-01-01,France,OffPeak,-1100708.02,52582400.5466,81397729.2618,-28815328.715200007
2025-01-01,France,Peak,-1114754.78,53188755.6086,149123017.8606,-95934262.252
2025-02-01,France,OffPeak,-715329.79,34386073.5407,94287535.251,-59901461.7103
2025-02-01,France,Peak,-703591.3,33861750.333000004,135414234.4338,-101552484.10080001
2025-03-01,France,OffPeak,-1123658.47,52892938.1058,109921876.2798,-57028938.173999995
2025-03-01,France,Peak,-1147838.09,54092075.706700005,131395108.5925,-77303032.8858
2025-04-01,France,OffPeak,-734575.03,36475855.298599996,99096521.9398,-62620666.6412
2025-04-01,France,Peak,-741045.42,36869691.081,133560813.59040001,-96691122.50940001
2025-05-01,France,OffPeak,-316921.57,13864295.1442,110876604.293,-97012309.1488
2025-05-01,France,Peak,-310253.05,13723922.0306,128102289.60679999,-114378367.5762
2025-07-01,France,OffPeak,-591521.37,27037925.8021,106396358.53860001,-79358432.73650001
2025-07-01,France,Peak,-597005.5,27144012.0098,183946121.32999998,-156802109.3202
2025-08-01,France,OffPeak,-590125.14,27210484.117000002,117313923.0696,-90103438.9526
2025-08-01,France,Peak,-639927.93,29787615.0955,145987082.7534,-116199467.6579
2025-09-01,France,OffPeak,-378371.82,16974131.0181,93981515.45040001,-77007384.4323
2025-09-01,France,Peak,-339869.36,14928480.275400002,119299804.0774,-104371323.802
2025-10-01,France,OffPeak,-633857.82,33249514.675300002,102576820.48920001,-69327305.81390001
2025-10-01,France,Peak,-565142.28,29739421.701100003,141765439.6994,-112026017.9983
2025-11-01,France,OffPeak,-515226.68,27093278.839900002,99081011.7162,-71987732.87629999
2025-11-01,France,Peak,-534748.11,28170918.369400002,126390541.1865,-98219622.81709999
2025-01-01,Switzerland,OffPeak,191797.81,2719162.9316000002,109866648.5019,-107147485.5703
2025-01-01,Switzerland,Peak,215424.02,1491522.2460000005,200992683.82,-199501161.574
2025-02-01,Switzerland,OffPeak,95631.51,6660434.3345,144266999.6814,-137606565.3469
2025-02-01,Switzerland,Peak,76795.63,7758977.9569999995,207327164.6001,-199568186.64310002
2025-01-01,Germany,OffPeak,1658899.4,-86906719.3357,97347570.0372,-184254289.3729
2025-01-01,Germany,Peak,1635851.92,-85642223.4848,177691277.75779998,-263333501.24259996
2025-03-01,Germany,OffPeak,1442301.65,-75759195.0331,127320370.1874,-203079565.2205
2025-03-01,Germany,Peak,1460323.37,-76806682.9386,151258481.4075,-228065164.3461
2025-05-01,Germany,OffPeak,1130556.76,-61776202.0392,147033753.412,-208809955.4512
2025-05-01,Germany,Peak,1138844.2,-61998615.3235,172704090.4752,-234702705.7987
2025-06-01,Germany,OffPeak,714772.44,-39812458.1769,107327174.9508,-147139633.1277
2025-06-01,Germany,Peak,723368.48,-40319987.8302,158401826.067,-198721813.8972
2025-07-01,Germany,OffPeak,791230.41,-42784839.0208,99569498.2326,-142354337.2534
2025-07-01,Germany,Peak,785355.24,-42120789.1646,171225190.96899998,-213345980.1336
2025-08-01,Germany,OffPeak,555109.93,-31963392.3487,135871426.4651,-167834818.81379998
2025-08-01,Germany,Peak,559426.75,-32160915.2142,170561051.9662,-202721967.18039998
2025-09-01,Germany,OffPeak,595963.18,-32558407.8457,114867355.23,-147425763.0757
2025-09-01,Germany,Peak,625247.68,-34347860.892400004,144159007.8184,-178506868.7108
2025-10-01,Germany,OffPeak,1145341.94,-61436080.5691,121209646.8294,-182645727.3985
2025-10-01,Germany,Peak,1156922.0,-62287369.4397,169790104.2024,-232077473.6421
2025-11-01,Germany,OffPeak,1274735.87,-67839364.0091,114644837.2167,-182484201.2258
2025-11-01,Germany,Peak,1247074.09,-66615423.349800006,143268221.1985,-209883644.54830003
2025-12-01,Germany,OffPeak,1300997.61,-69108953.2158,109938937.5889,-179047890.80470002
2025-12-01,Germany,Peak,1382565.07,-73254070.7093,159576640.0803,-232830710.7896
2025-07-01,Switzerland,OffPeak,-565717.79,31683739.592000004,146357082.0366,-114673342.44459999
2025-07-01,Switzerland,Peak,-563289.05,31432238.0408,256484270.40049997,-225052032.35969996
2025-03-01,United Kingdom,OffPeak,-410077.24,19867975.568500005,230850551.0064,-210982575.43789998
2025-03-01,United Kingdom,Peak,-373377.37,17759583.548500005,277230156.5075,-259470572.959
2025-04-01,Switzerland,OffPeak,-884956.71,53049136.94670001,137965792.9034,-84916655.9567
2025-04-01,Switzerland,Peak,-916102.7,54233090.127900004,184256683.4584,-130023593.3305
2025-02-01,United Kingdom,OffPeak,-295573.91,14298374.791400002,203517490.5846,-189219115.7932
2025-02-01,United Kingdom,Peak,-379459.58,18426717.287700005,289997591.82420003,-271570874.53650004
2025-10-01,Switzerland,OffPeak,29001.23,5429655.741300002,127076112.3591,-121646456.6178
2025-10-01,Switzerland,Peak,60598.0,3759950.870000001,172025840.6592,-168265889.7892
2025-01-01,United Kingdom,OffPeak,-198686.65,8905217.233600004,175499799.3135,-166594582.0799
2025-01-01,United Kingdom,Peak,-171553.13,7382206.843700004,322268034.5503,-314885827.7066
2025-04-01,United Kingdom,OffPeak,580882.26,-27093946.2275,202312905.6564,-229406851.8839
2025-04-01,United Kingdom,Peak,557197.78,-25962634.333,277996386.7856,-303959021.1186
2025-05-01,United Kingdom,OffPeak,833376.66,-40257219.7714,255697845.2448,-295955065.0162
