Month,LocationName,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-07-01,Germany,OffPeak,979894.19,-45577490.3287,79941118.971,-125518609.29969999
2025-07-01,Germany,Peak,981648.92,-45692442.2676,135758977.45299998,-181451419.72059998
2025-10-01,United Kingdom,OffPeak,-1324915.79,63137688.7783,150456309.2919,-87318620.5136
2025-10-01,United Kingdom,Peak,-1324079.3,63271713.019600004,208290804.0268,-145019091.0072
2025-11-01,United Kingdom,OffPeak,-419970.69,19019184.1649,153521955.8739,-134502771.709
2025-11-01,United Kingdom,Peak,-400651.92,18073950.204800002,194410446.53620002,-176336496.3314
2025-12-01,United Kingdom,OffPeak,-912127.22,43647534.647,126219649.9466,-82572115.2996
2025-12-01,United Kingdom,Peak,-873368.56,42047442.5435,179812774.2978,-137765331.7543
2025-01-01,Switzerland,OffPeak,314478.61,-10626403.498599999,91097296.2747,-101723699.77329999
2025-01-01,Switzerland,Peak,313400.99,-10690296.076799998,164299240.3245,-174989536.40129998
2025-02-01,Switzerland,OffPeak,323999.79,-12733024.703999998,97311963.3426,-110044988.0466
2025-02-01,Switzerland,Peak,344893.11,-13670216.484899998,140856503.3835,-154526719.8684
2025-03-01,Switzerland,OffPeak,604039.84,-25959075.563899998,120386953.1124,-146346028.6763
2025-03-01,Switzerland,Peak,606326.13,-25977280.415699996,143983211.9925,-169960492.4082
2025-01-01,France,OffPeak,-763313.9,29451484.1714,142059382.3656,-112607898.1942
2025-01-01,France,Peak,-784238.01,30991795.863199998,257400115.2685,-226408319.4053
2025-02-01,France,OffPeak,-740361.56,29937535.206,157606487.5572,-127668952.35120001
2025-02-01,France,Peak,-703862.03,28012320.770999998,226907284.08330002,-198894963.31230003
2025-03-01,France,OffPeak,-701889.76,27390653.054199997,174812113.5696,-147421460.5154
2025-03-01,France,Peak,-753888.14,30386067.9438,211642465.955,-181256398.0112
2025-04-01,France,OffPeak,-467331.57,15523417.473999998,172051307.96699998,-156527890.49299997
2025-04-01,France,Peak,-479122.19,16271963.243699998,234543277.36420003,-218271314.12050003
2025-05-01,France,OffPeak,-598712.4,21487871.180299997,198980013.1816,-177492142.0013
2025-05-01,France,Peak,-589607.0,20994340.4012,230229637.11679998,-209235296.71559998
2025-06-01,France,OffPeak,-146663.38,-2162759.9368000017,153168678.3316,-155331438.2684
2025-06-01,France,Peak,-145651.99,-2364829.1399000017,226861372.1205,-229226201.2604
2025-07-01,France,OffPeak,-361104.87,9011064.745199999,146303645.9706,-137292581.2254
2025-07-01,France,Peak,-397811.34,10971652.4804,249421926.61499998,-238450274.13459998
2025-08-01,France,OffPeak,-170238.56,962436.9536999987,189013308.9,-188050871.9463
2025-08-01,France,Peak,-91435.11,-3107992.6034000013,233453259.5122,-236561252.1156
2025-09-01,France,OffPeak,-607341.45,20899927.9216,165729036.59100002,-144829108.66940004
2025-09-01,France,Peak,-650938.6900000001,23071169.424,212718668.9879,-189647499.5639
2025-10-01,France,OffPeak,-260047.97,5691127.382999999,195839026.28550002,-190147898.90250003
2025-10-01,France,Peak,-262266.9,5778217.483,270543195.5028,-264764978.01979998
2025-11-01,France,OffPeak,-151334.94,2349461.8569,194869268.2728,-192519806.4159
2025-11-01,France,Peak,-134757.24,1426070.5993000001,245568469.5962,-244142398.9969
2025-12-01,France,OffPeak,-598585.86,21718548.7956,167004896.92880002,-145286348.13320002
2025-12-01,France,Peak,-511974.47,17370325.1765,238752431.7093,-221382106.53280002
2025-04-01,Switzerland,OffPeak,-886749.28,44713695.9135,103738925.81359999,-59025229.900099985
2025-04-01,Switzerland,Peak,-909802.48,46018594.7051,141137353.798,-95118759.09290001
